c2,model,nrmse
-35.0,PI-FNO-UNET,
-35.0,LSC-FNO,4.7677627
-35.0,PINO,0.30225503
-35.0,LC,0.07479737
-33.827586206896555,PI-FNO-UNET,
-33.827586206896555,LSC-FNO,1.5335791
-33.827586206896555,PINO,0.20893465
-33.827586206896555,LC,0.05577509
-32.6551724137931,PI-FNO-UNET,
-32.6551724137931,LSC-FNO,0.3539931
-32.6551724137931,PINO,0.14301245
-32.6551724137931,LC,0.042063694
-31.482758620689655,PI-FNO-UNET,
-31.482758620689655,LSC-FNO,0.07688254
-31.482758620689655,PINO,0.09585449
-31.482758620689655,LC,0.033437733
-30.310344827586206,PI-FNO-UNET,
-30.310344827586206,LSC-FNO,0.030732479
-30.310344827586206,PINO,0.062028702
-30.310344827586206,LC,0.028060822
-29.137931034482758,PI-FNO-UNET,
-29.137931034482758,LSC-FNO,0.023677684
-29.137931034482758,PINO,0.037810057
-29.137931034482758,LC,0.023966353
-27.96551724137931,PI-FNO-UNET,
-27.96551724137931,LSC-FNO,0.018617827
-27.96551724137931,PINO,0.026522124
-27.96551724137931,LC,0.020093486
-26.793103448275865,PI-FNO-UNET,
-26.793103448275865,LSC-FNO,0.0144093605
-26.793103448275865,PINO,0.020412954
-26.793103448275865,LC,0.01623963
-25.620689655172413,PI-FNO-UNET,0.24174097
-25.620689655172413,LSC-FNO,0.010943805
-25.620689655172413,PINO,0.015409671
-25.620689655172413,LC,0.012526223
-24.448275862068968,PI-FNO-UNET,0.043998353
-24.448275862068968,LSC-FNO,0.008142663
-24.448275862068968,PINO,0.011336002
-24.448275862068968,LC,0.009103224
-23.275862068965516,PI-FNO-UNET,0.010349022
-23.275862068965516,LSC-FNO,0.005950384
-23.275862068965516,PINO,0.008074544
-23.275862068965516,LC,0.0061009056
-22.10344827586207,PI-FNO-UNET,0.006305056
-22.10344827586207,LSC-FNO,0.0043310076
-22.10344827586207,PINO,0.0055378135
-22.10344827586207,LC,0.0036748003
-20.931034482758623,PI-FNO-UNET,0.0037590552
-20.931034482758623,LSC-FNO,0.0032565915
-20.931034482758623,PINO,0.00368304
-20.931034482758623,LC,0.0020909617
-19.758620689655174,PI-FNO-UNET,0.0023176796
-19.758620689655174,LSC-FNO,0.0026707218
-19.758620689655174,PINO,0.0025504509
-19.758620689655174,LC,0.0016061264
-18.586206896551726,PI-FNO-UNET,0.0018382827
-18.586206896551726,LSC-FNO,0.0024180447
-18.586206896551726,PINO,0.0022645122
-18.586206896551726,LC,0.0016299738
-17.413793103448278,PI-FNO-UNET,0.0019078964
-17.413793103448278,LSC-FNO,0.002340383
-17.413793103448278,PINO,0.0024539835
-17.413793103448278,LC,0.0015724549
-16.24137931034483,PI-FNO-UNET,0.0020894995
-16.24137931034483,LSC-FNO,0.0023397168
-16.24137931034483,PINO,0.0026566754
-16.24137931034483,LC,0.0014866777
-15.06896551724138,PI-FNO-UNET,0.0021937795
-15.06896551724138,LSC-FNO,0.0023818088
-15.06896551724138,PINO,0.002730597
-15.06896551724138,LC,0.0015063749
-13.896551724137932,PI-FNO-UNET,0.0021665222
-13.896551724137932,LSC-FNO,0.0024654306
-13.896551724137932,PINO,0.0026660496
-13.896551724137932,LC,0.0015345495
-12.724137931034484,PI-FNO-UNET,0.0019905532
-12.724137931034484,LSC-FNO,0.0026155335
-12.724137931034484,PINO,0.0025224602
-12.724137931034484,LC,0.0014773016
-11.551724137931036,PI-FNO-UNET,0.0017032966
-11.551724137931036,LSC-FNO,0.0028389196
-11.551724137931036,PINO,0.0024341666
-11.551724137931036,LC,0.0013902127
-10.379310344827587,PI-FNO-UNET,0.0014932004
-10.379310344827587,LSC-FNO,0.0031795285
-10.379310344827587,PINO,0.0025114617
-10.379310344827587,LC,0.0013519382
-9.206896551724139,PI-FNO-UNET,0.0017898277
-9.206896551724139,LSC-FNO,0.0038629763
-9.206896551724139,PINO,0.0027240089
-9.206896551724139,LC,0.0013661517
-8.03448275862069,PI-FNO-UNET,0.0024480964
-8.03448275862069,LSC-FNO,0.005163907
-8.03448275862069,PINO,0.0029713272
-8.03448275862069,LC,0.0014364371
-6.8620689655172455,PI-FNO-UNET,0.0032430324
-6.8620689655172455,LSC-FNO,0.007162497
-6.8620689655172455,PINO,0.0032656512
-6.8620689655172455,LC,0.0016352979
-5.689655172413797,PI-FNO-UNET,0.004269493
-5.689655172413797,LSC-FNO,0.010197722
-5.689655172413797,PINO,0.0037781897
-5.689655172413797,LC,0.0021112517
-4.517241379310349,PI-FNO-UNET,0.006159402
-4.517241379310349,LSC-FNO,0.014642802
-4.517241379310349,PINO,0.005078123
-4.517241379310349,LC,0.0030025572
-3.3448275862069003,PI-FNO-UNET,0.009721951
-3.3448275862069003,LSC-FNO,0.020502085
-3.3448275862069003,PINO,0.008350055
-3.3448275862069003,LC,0.004201046
-2.172413793103452,PI-FNO-UNET,0.016324854
-2.172413793103452,LSC-FNO,0.027785275
-2.172413793103452,PINO,0.014441718
-2.172413793103452,LC,0.0057837097
-1.0,PI-FNO-UNET,0.027374638
-1.0,LSC-FNO,0.036736354
-1.0,PINO,0.024099585
-1.0,LC,0.00844092
