time_step,mean_nRMSE,publication_net
1,0.005115608,Conv;34;10;relu
2,0.008402544,Conv;34;10;relu
3,0.011959785,Conv;34;10;relu
4,0.016093655,Conv;34;10;relu
5,0.020630099,Conv;34;10;relu
6,0.0248265,Conv;34;10;relu
7,0.029379722,Conv;34;10;relu
8,0.034474935,Conv;34;10;relu
9,0.03934817,Conv;34;10;relu
10,0.044187937,Conv;34;10;relu
11,0.04874636,Conv;34;10;relu
12,0.05309292,Conv;34;10;relu
13,0.05690432,Conv;34;10;relu
14,0.06031162,Conv;34;10;relu
15,0.06318155,Conv;34;10;relu
16,0.06569008,Conv;34;10;relu
17,0.06815741,Conv;34;10;relu
18,0.07060288,Conv;34;10;relu
19,0.07309829,Conv;34;10;relu
20,0.075677074,Conv;34;10;relu
21,0.07815484,Conv;34;10;relu
22,0.08079164,Conv;34;10;relu
23,0.08352525,Conv;34;10;relu
24,0.08633872,Conv;34;10;relu
25,0.08913896,Conv;34;10;relu
26,0.09186446,Conv;34;10;relu
27,0.094578736,Conv;34;10;relu
28,0.09726326,Conv;34;10;relu
29,0.09989778,Conv;34;10;relu
30,0.10281866,Conv;34;10;relu
31,0.10573687,Conv;34;10;relu
32,0.10892501,Conv;34;10;relu
33,0.11203959,Conv;34;10;relu
34,0.11540562,Conv;34;10;relu
35,0.118809186,Conv;34;10;relu
36,0.12232892,Conv;34;10;relu
37,0.12586194,Conv;34;10;relu
38,0.12923265,Conv;34;10;relu
39,0.1326872,Conv;34;10;relu
40,0.13609293,Conv;34;10;relu
41,0.13961466,Conv;34;10;relu
42,0.14306991,Conv;34;10;relu
43,0.14661959,Conv;34;10;relu
44,0.15019503,Conv;34;10;relu
45,0.15363637,Conv;34;10;relu
46,0.15725361,Conv;34;10;relu
47,0.16086659,Conv;34;10;relu
48,0.16444452,Conv;34;10;relu
49,0.16814283,Conv;34;10;relu
50,0.1718225,Conv;34;10;relu
51,0.17564651,Conv;34;10;relu
52,0.17934649,Conv;34;10;relu
53,0.18308146,Conv;34;10;relu
54,0.18680058,Conv;34;10;relu
55,0.19041288,Conv;34;10;relu
56,0.19390146,Conv;34;10;relu
57,0.19739749,Conv;34;10;relu
58,0.20076616,Conv;34;10;relu
59,0.20397218,Conv;34;10;relu
60,0.20715992,Conv;34;10;relu
61,0.21036874,Conv;34;10;relu
62,0.21357381,Conv;34;10;relu
63,0.21695426,Conv;34;10;relu
64,0.2204629,Conv;34;10;relu
65,0.22403891,Conv;34;10;relu
66,0.22775884,Conv;34;10;relu
67,0.23173122,Conv;34;10;relu
68,0.23591805,Conv;34;10;relu
69,0.2402516,Conv;34;10;relu
70,0.244688,Conv;34;10;relu
71,0.24925607,Conv;34;10;relu
72,0.25394848,Conv;34;10;relu
