time_step,mean_nRMSE,publication_net
147,1.3976984,Conv;34;10;relu
148,1.3985509,Conv;34;10;relu
149,1.4003438,Conv;34;10;relu
150,1.4037553,Conv;34;10;relu
151,1.408598,Conv;34;10;relu
152,1.4143922,Conv;34;10;relu
153,1.4205303,Conv;34;10;relu
154,1.4265218,Conv;34;10;relu
155,1.431747,Conv;34;10;relu
156,1.435743,Conv;34;10;relu
157,1.4390324,Conv;34;10;relu
158,1.4430171,Conv;34;10;relu
159,1.4478774,Conv;34;10;relu
160,1.4518627,Conv;34;10;relu
161,1.4536635,Conv;34;10;relu
162,1.4536189,Conv;34;10;relu
163,1.4521465,Conv;34;10;relu
164,1.4492381,Conv;34;10;relu
165,1.4452939,Conv;34;10;relu
166,1.4410356,Conv;34;10;relu
167,1.437798,Conv;34;10;relu
168,1.4362379,Conv;34;10;relu
169,1.4357237,Conv;34;10;relu
170,1.4364945,Conv;34;10;relu
171,1.4388157,Conv;34;10;relu
172,1.44153,Conv;34;10;relu
173,1.4438978,Conv;34;10;relu
174,1.4456439,Conv;34;10;relu
175,1.4467068,Conv;34;10;relu
176,1.4474999,Conv;34;10;relu
177,1.4482708,Conv;34;10;relu
178,1.4491107,Conv;34;10;relu
179,1.449975,Conv;34;10;relu
180,1.4498158,Conv;34;10;relu
181,1.4482293,Conv;34;10;relu
182,1.4454365,Conv;34;10;relu
183,1.4426241,Conv;34;10;relu
184,1.441281,Conv;34;10;relu
185,1.4412487,Conv;34;10;relu
186,1.4416094,Conv;34;10;relu
187,1.4423612,Conv;34;10;relu
188,1.4439853,Conv;34;10;relu
189,1.4471014,Conv;34;10;relu
190,1.4507653,Conv;34;10;relu
191,1.4537585,Conv;34;10;relu
192,1.4562972,Conv;34;10;relu
193,1.4591659,Conv;34;10;relu
194,1.4626964,Conv;34;10;relu
195,1.4668181,Conv;34;10;relu
196,1.4704608,Conv;34;10;relu
197,1.4720061,Conv;34;10;relu
198,1.4704973,Conv;34;10;relu
199,1.4661927,Conv;34;10;relu
200,1.4607148,Conv;34;10;relu
1,0.0048085884,Conv;34;10;relu
2,0.008065638,Conv;34;10;relu
3,0.011607596,Conv;34;10;relu
4,0.015812522,Conv;34;10;relu
5,0.021000825,Conv;34;10;relu
6,0.026981518,Conv;34;10;relu
7,0.033235718,Conv;34;10;relu
8,0.039511938,Conv;34;10;relu
9,0.045833644,Conv;34;10;relu
10,0.052251957,Conv;34;10;relu
11,0.059594985,Conv;34;10;relu
12,0.06717731,Conv;34;10;relu
13,0.07518047,Conv;34;10;relu
14,0.08367806,Conv;34;10;relu
15,0.092260405,Conv;34;10;relu
16,0.10069288,Conv;34;10;relu
17,0.1090773,Conv;34;10;relu
18,0.11829497,Conv;34;10;relu
19,0.1277857,Conv;34;10;relu
20,0.13648662,Conv;34;10;relu
21,0.14497866,Conv;34;10;relu
