time_step,mean_nRMSE,publication_net
1,0.0032325638,Conv;34;10;relu
2,0.0048326845,Conv;34;10;relu
3,0.006173205,Conv;34;10;relu
4,0.007503153,Conv;34;10;relu
5,0.008663054,Conv;34;10;relu
6,0.009574669,Conv;34;10;relu
7,0.010299614,Conv;34;10;relu
8,0.010811112,Conv;34;10;relu
9,0.011239831,Conv;34;10;relu
10,0.011659377,Conv;34;10;relu
11,0.011930428,Conv;34;10;relu
12,0.012249315,Conv;34;10;relu
13,0.01240185,Conv;34;10;relu
14,0.012783828,Conv;34;10;relu
15,0.013058095,Conv;34;10;relu
16,0.013465504,Conv;34;10;relu
17,0.013969533,Conv;34;10;relu
18,0.014563677,Conv;34;10;relu
19,0.015071143,Conv;34;10;relu
20,0.015540376,Conv;34;10;relu
21,0.016270978,Conv;34;10;relu
22,0.016807599,Conv;34;10;relu
23,0.01736493,Conv;34;10;relu
24,0.017943358,Conv;34;10;relu
25,0.018374663,Conv;34;10;relu
26,0.01881681,Conv;34;10;relu
27,0.019332064,Conv;34;10;relu
28,0.019689273,Conv;34;10;relu
29,0.020089628,Conv;34;10;relu
30,0.020606406,Conv;34;10;relu
31,0.021031007,Conv;34;10;relu
32,0.021372696,Conv;34;10;relu
33,0.02176887,Conv;34;10;relu
34,0.022264827,Conv;34;10;relu
35,0.02271661,Conv;34;10;relu
36,0.023110181,Conv;34;10;relu
37,0.023608783,Conv;34;10;relu
38,0.024083873,Conv;34;10;relu
39,0.024474025,Conv;34;10;relu
40,0.024946546,Conv;34;10;relu
41,0.025402976,Conv;34;10;relu
42,0.025774311,Conv;34;10;relu
43,0.026067905,Conv;34;10;relu
44,0.02638182,Conv;34;10;relu
45,0.026684579,Conv;34;10;relu
46,0.026942022,Conv;34;10;relu
47,0.027160404,Conv;34;10;relu
48,0.027387006,Conv;34;10;relu
49,0.027636258,Conv;34;10;relu
50,0.027896246,Conv;34;10;relu
51,0.02817416,Conv;34;10;relu
52,0.02847175,Conv;34;10;relu
53,0.028757978,Conv;34;10;relu
54,0.029082943,Conv;34;10;relu
55,0.029436339,Conv;34;10;relu
56,0.02984039,Conv;34;10;relu
57,0.030314418,Conv;34;10;relu
58,0.03082603,Conv;34;10;relu
59,0.031347487,Conv;34;10;relu
60,0.03190063,Conv;34;10;relu
61,0.03249066,Conv;34;10;relu
62,0.033061616,Conv;34;10;relu
63,0.03366024,Conv;34;10;relu
64,0.034244686,Conv;34;10;relu
65,0.03482001,Conv;34;10;relu
66,0.035389997,Conv;34;10;relu
67,0.035935547,Conv;34;10;relu
68,0.03651447,Conv;34;10;relu
69,0.037115827,Conv;34;10;relu
70,0.037751503,Conv;34;10;relu
71,0.038416818,Conv;34;10;relu
72,0.0390598,Conv;34;10;relu
73,0.039673407,Conv;34;10;relu
74,0.04028649,Conv;34;10;relu
75,0.04090117,Conv;34;10;relu
76,0.041546736,Conv;34;10;relu
77,0.04220194,Conv;34;10;relu
78,0.042834383,Conv;34;10;relu
79,0.043431733,Conv;34;10;relu
80,0.043994695,Conv;34;10;relu
81,0.04451509,Conv;34;10;relu
82,0.045014024,Conv;34;10;relu
83,0.045503814,Conv;34;10;relu
84,0.04600178,Conv;34;10;relu
85,0.0465,Conv;34;10;relu
86,0.047001082,Conv;34;10;relu
87,0.047494024,Conv;34;10;relu
88,0.047984656,Conv;34;10;relu
